Label,Num Threads,Schedule,ChunkSize,ReadGray(s),ReadColor(s),Gray(s),Hsl(s),Yuv(s),WriteGray(s),WriteHsl(s),WriteYuv(s),Total(s)
"OpenMP: Threads 4, Schedule guided, ChunkSize 32",4,guided,32,0.031,0.3642,0.4585,1.8529,0.9822,8.0675,18.0849,20.1466,47.073
"OpenMP: Threads 4, Schedule guided, ChunkSize 64",4,guided,64,0.0304,0.3673,0.4635,1.8585,1.008,6.1253,18.3538,16.4574,45.8835
"OpenMP: Threads 4, Schedule guided, ChunkSize 128",4,guided,128,0.0305,0.3572,0.462,1.8532,0.999,6.0944,18.639,18.69,45.8394
"OpenMP: Threads 4, Schedule guided, ChunkSize 256",4,guided,256,0.0306,0.3552,0.4698,1.8597,1.014,6.2157,18.6284,18.4087,46.9136
"OpenMP: Threads 4, Schedule guided, ChunkSize 512",4,guided,512,0.0301,0.3681,0.4621,1.8562,1.0042,6.1922,18.6663,18.6905,47.3184
"OpenMP: Threads 4, Schedule guided, ChunkSize 1024",4,guided,1024,0.0311,0.3497,0.4534,1.8504,0.9942,6.2089,18.5901,17.5032,46.401
"OpenMP: Threads 4, Schedule guided, ChunkSize 2048",4,guided,2048,0.0281,0.3521,0.4635,1.8567,1.0028,3.1905,13.313,18.2727,39.9894
"OpenMP: Threads 4, Schedule guided, ChunkSize 4096",4,guided,4096,0.03,0.3697,0.4645,1.8545,0.9956,5.6573,18.3084,16.7356,43.6571
"OpenMP: Threads 4, Schedule static, ChunkSize 16",4,static,16,0.0303,0.3835,0.4936,2.0196,1.1241,6.1102,17.9453,17.3564,43.5796
"OpenMP: Threads 4, Schedule static, ChunkSize 32",4,static,32,0.0163,0.3867,0.4534,1.9549,1.0502,6.1062,12.8774,17.7618,40.3008
"OpenMP: Threads 4, Schedule static, ChunkSize 64",4,static,64,0.0256,0.3957,0.4694,1.9567,1.0574,5.9295,17.9656,13.3322,39.6636
"OpenMP: Threads 4, Schedule static, ChunkSize 128",4,static,128,0.029,0.3896,0.4726,1.909,1.0641,4.3523,12.9183,17.8436,40.1271
"OpenMP: Threads 4, Schedule static, ChunkSize 256",4,static,256,0.0161,0.3771,0.4539,1.8921,1.0336,5.8464,15.1238,16.1927,41.1332
"OpenMP: Threads 4, Schedule static, ChunkSize 512",4,static,512,0.024,0.3767,0.4472,1.8839,1.0242,6.0509,17.5171,16.111,44.0627
