Time (s),TotalTime
0.659199,32.733764
0.627518,32.796257
0.609828,32.809398
0.647541,33.007807
0.657729,36.248181
0.696537,36.898565
0.607151,32.731044
0.728426,32.959214
0.620678,36.689369
0.663868,34.805892
0.671541,35.096237
