Time (s),TotalTime
9.957188,32.733764
10.005764,32.796257
10.018270,32.809398
9.982746,33.007807
13.172119,36.248181
13.040994,36.898565
10.015857,32.731044
10.015678,32.959214
13.878841,36.689369
9.993251,34.805892
10.027439,35.096237
