Node,Processes,Num Threads,ReadGray(s),ReadColor(s),Gray(s),Hsl(s),Yuv(s),WriteGray(s),WriteHsl(s),WriteYuv(s),Total(s)
1,4,2,0.033999,0.614359,0.20462,1.163087,0.635071,3.196337,9.774184,9.682826,25.311361
1,4,2,0.0217,0.638443,0.202916,1.170256,0.636792,3.198781,9.821365,9.805128,25.501726
1,4,2,0.040033,0.583176,0.231127,1.167982,0.623524,3.202961,9.678048,9.67171,25.206421
1,4,2,0.036679,0.625616,0.199461,1.187994,0.624401,3.202589,9.72211,9.702022,25.307858
1,4,4,0.021601,0.355857,0.21054,0.937469,0.555735,3.159433,9.69859,9.674022,24.620235
1,4,4,0.020887,0.354142,0.202778,0.925758,0.560024,3.215494,9.524218,9.626927,24.439309
1,4,4,0.047899,0.322339,0.197148,0.966335,0.559916,3.204682,9.541246,9.539365,24.38612
1,4,4,0.041531,0.339894,0.20367,0.928826,0.565957,3.190767,9.59261,9.566436,24.437444
1,4,4,0.037115,0.33089,0.194681,0.93132,0.539161,3.220872,9.476044,9.648227,24.384214
1,4,8,0.021976,0.22494,0.205865,0.916778,0.542729,3.273885,9.517337,9.431265,24.141874
1,4,8,0.031676,0.197303,0.182838,0.922453,0.544476,3.245958,9.685334,9.593006,24.411664
1,4,8,0.04277,0.219211,0.190515,0.906859,0.563217,3.23031,9.469878,9.489753,24.11773
1,4,8,0.03766,0.223816,0.180781,0.944056,0.571588,3.202111,9.562374,9.602958,24.332478
1,4,8,0.027257,0.22176,0.196388,0.908177,0.542918,3.240981,9.581441,9.48947,24.215474
1,8,16,0.056548,0.180158,0.16831,0.933306,0.562799,3.642794,9.544206,9.515823,24.609845
1,8,16,0.037987,0.186737,0.195883,0.970472,0.529063,3.25749,9.714852,9.612155,24.511476
1,8,16,0.06683,0.189276,0.172677,0.917553,0.529744,3.514936,9.584899,9.509054,24.491458
1,8,16,0.062437,0.233292,0.176244,0.920317,0.514631,3.325183,17.685533,18.073741,40.997794
1,8,16,0.047778,0.206297,0.180996,0.910195,0.552647,3.597711,9.681381,9.604587,24.787554
1,8,1,0.062897,1.145088,0.190064,1.245301,0.702604,3.215847,9.958217,9.885827,26.412521
1,8,1,0.06104,1.003306,0.188216,1.258956,0.698775,3.20053,10.136025,10.065431,26.619052
1,8,1,0.050085,0.96285,0.200053,1.268226,0.702195,3.2086,10.102914,9.98357,26.482434
1,8,1,0.057346,0.992986,0.18168,1.272501,0.708141,3.215056,10.070664,9.905228,26.410309
1,8,1,0.061341,1.029271,0.190446,1.269824,0.71834,3.221668,10.117283,10.11569,26.730786
1,8,2,0.057801,0.610279,0.168767,0.961875,0.562295,3.19395,17.553102,18.264389,41.379347
1,8,2,0.068448,0.523673,0.174185,0.969353,0.580156,4.134992,9.89072,9.803515,26.151949
1,8,2,0.065668,0.59929,0.162557,0.939631,0.578365,3.208322,9.767108,9.647514,24.975259
1,8,2,0.054326,0.490951,0.188648,0.993899,0.572506,5.34519,18.216598,14.844116,40.712838
1,8,2,0.050057,0.549337,0.181638,0.943167,0.62443,3.205899,9.856149,9.830929,25.248083
1,8,4,0.056504,0.278696,0.19884,0.953044,0.568325,3.253329,9.57107,9.511101,24.397784
1,8,4,0.062251,0.362049,0.181768,0.919511,0.539964,3.224597,9.702842,12.757686,27.757375
1,8,4,0.064999,0.321992,0.187846,0.951218,0.599885,6.291296,18.132886,10.356649,36.913533
1,8,4,0.07189,0.284998,0.17053,0.9392,0.548782,6.130784,18.274032,17.875612,44.30294
1,8,4,0.055466,0.280778,0.191083,0.966056,0.608235,3.319149,13.316669,18.110452,36.852122
1,8,8,0.041706,0.228861,0.209099,0.976115,0.598366,6.281873,11.828992,17.786185,37.958323
1,8,8,0.066995,0.224131,0.190743,0.95575,0.589457,6.293808,12.777561,11.012176,32.117238
1,8,8,0.046592,0.227893,0.209222,0.975195,0.579803,6.317518,18.132057,13.15375,39.648253
1,8,8,0.071439,0.248633,0.184218,0.974428,0.590758,3.338928,9.688849,9.509044,24.613941
1,8,8,0.051862,0.253751,0.189237,1.004841,0.583991,3.229438,9.554996,9.443266,24.318323
2,16,16,0.072512,0.180369,1.02942,2.445147,2.149279,3.202907,9.506181,9.428779,28.021464
2,16,16,0.054748,0.194031,1.043073,2.432559,2.137527,3.212879,9.49332,9.548221,28.124031
2,16,16,0.054669,0.186032,1.082645,2.423306,2.146312,3.195671,9.495502,9.426966,28.018493
2,16,16,0.047705,0.195257,0.974236,2.402286,2.132161,3.211653,9.503267,9.540016,28.014016
2,16,16,0.062585,0.175228,1.046066,2.431765,2.150804,3.184155,9.48796,9.483927,28.028156
2,16,1,0.041909,0.89625,0.736334,2.460813,2.172629,3.144058,10.057012,9.91898,29.432471
2,16,1,0.061137,0.940092,0.737219,2.456791,2.176073,3.190644,10.076516,9.98718,29.632738
2,16,1,0.066272,1.136954,0.737211,2.468083,2.17863,3.20708,10.091986,10.037202,29.930284
2,16,1,0.0657,1.098024,0.728139,2.469216,2.179927,3.192783,10.080004,10.008422,29.829023
2,16,1,0.062663,0.892677,0.714669,2.487868,2.185199,3.169109,10.049043,10.031989,29.599473
2,16,2,0.062943,0.628535,0.72114,2.28812,2.105589,3.279945,9.819765,9.770828,28.683408
2,16,2,0.057291,0.491228,0.728848,2.316566,2.131674,3.257465,9.820749,9.751525,28.561751
2,16,2,0.068747,0.598486,0.760548,2.278428,2.092864,3.266545,9.830476,9.703325,28.606187
2,16,2,0.055723,0.53025,0.729559,2.332151,2.115123,3.26941,9.721712,9.72093,28.481783
2,16,2,0.0395,0.517768,0.745093,2.299101,2.122976,3.26639,9.750858,9.714834,28.463291
2,16,4,0.05354,0.307515,0.76595,2.339755,2.136718,3.293393,9.590561,9.6306,28.122536
2,16,4,0.060008,0.263115,0.802574,2.35023,2.104782,3.312607,9.64721,9.588996,28.135584
2,16,4,0.044347,0.292386,0.950661,2.374961,2.127891,3.194441,9.612471,9.589294,28.192599
2,16,4,0.062918,0.30883,0.772387,2.283706,2.127238,3.262738,9.625796,9.568418,28.018037
2,16,4,0.04604,0.289387,0.986039,2.358443,2.115374,3.160718,9.601373,9.542313,28.106275
2,16,8,0.052765,0.195305,0.959698,2.405013,2.195208,3.200265,9.542427,9.487309,28.044977
2,16,8,0.060951,0.228888,0.914557,2.37239,2.17075,3.18399,9.551418,9.494756,27.984303
2,16,8,0.063693,0.222824,0.958082,2.41097,2.17813,3.226226,9.540903,9.502816,28.110606
2,16,8,0.063463,0.233275,0.912357,2.378158,2.16527,3.257671,9.534322,9.477213,28.028292
2,16,8,0.055991,0.199463,1.06025,2.348331,2.156602,3.162075,9.531414,9.468554,27.988971
2,1,16,0.016227,0.175146,0.447804,1.166545,0.840044,3.159601,9.538583,9.551989,24.90387
2,1,16,0.015085,0.182454,0.433224,1.195501,0.827751,3.187025,9.445882,9.425,24.719829
2,1,16,0.015232,0.172266,0.410166,1.15821,0.86311,3.188362,9.559161,9.593475,24.967957
2,1,16,0.015966,0.192826,0.416814,1.145087,0.843882,3.196007,9.582821,9.589584,24.99107
2,1,16,0.031303,0.179602,0.441683,1.228234,0.859155,3.158979,9.501323,9.527855,24.935942
2,1,1,0.029028,1.042731,0.724645,6.025546,2.951085,3.199142,10.008328,10.131619,34.120017
2,1,1,0.031539,1.045435,0.744975,6.013532,2.839901,3.188801,9.975004,10.034342,33.881669
2,1,1,0.031255,1.039464,0.73836,5.895656,2.798634,3.190736,10.01191,10.03556,33.74938
2,1,1,0.032271,1.130543,0.730089,6.101974,2.923427,3.190286,10.068355,10.099143,34.284224
2,1,1,0.028782,1.049752,0.733761,5.893122,2.822688,3.18846,10.041198,10.039171,33.804824
2,1,2,0.029747,0.556989,0.572106,3.201834,1.697749,3.207412,9.772958,9.846237,28.892981
2,1,2,0.029019,0.5788,0.587428,3.226739,1.69324,3.173859,9.76045,9.813538,28.870914
2,1,2,0.029471,0.573005,0.58054,3.202418,1.617541,5.16691,18.222957,11.214518,40.615212
2,1,2,0.032256,0.558998,0.577568,3.207439,1.630168,6.097845,18.163309,13.843434,44.118816
2,1,2,0.03147,0.579572,0.575486,3.223042,1.646657,3.192818,9.765124,9.799633,28.821921
2,1,4,0.028835,0.328403,0.50124,1.936317,1.10693,3.164602,9.566943,9.566348,26.20762
2,1,4,0.031241,0.345271,0.499633,1.942422,1.107224,3.139138,9.493211,9.489025,26.055146
2,1,4,0.031342,0.336398,0.49514,1.943673,1.081291,3.168017,9.464154,9.455909,25.983771
2,1,4,0.03137,0.306138,0.495516,1.93834,1.086374,3.187224,9.502149,9.681077,26.236023
2,1,4,0.029691,0.339489,0.501854,1.949936,1.080597,3.177436,9.632453,9.572929,26.292346
2,1,8,0.028726,0.200057,0.457122,1.393295,0.94577,3.190524,9.555791,15.365755,31.144918
2,1,8,0.032022,0.196666,0.448871,1.447931,0.937929,6.247754,17.708206,12.952064,39.979376
2,1,8,0.028707,0.210367,0.463184,1.421859,0.92546,6.220853,18.030873,9.641326,36.950539
2,1,8,0.015889,0.19546,0.433248,1.409161,0.940299,3.205144,12.727999,18.080985,37.016148
2,1,8,0.02874,0.201819,0.463586,1.411795,0.929233,6.233679,9.746762,9.670504,28.694235
2,2,16,0.031313,0.174201,0.864752,2.45709,2.303996,3.164742,9.567397,9.494643,28.064752
2,2,16,0.017308,0.190847,0.866054,2.494895,2.274228,3.152104,9.578005,9.488454,28.068885
2,2,16,0.031303,0.183649,0.858158,2.477122,2.29832,3.138343,9.534659,9.459352,27.988368
2,2,16,0.03216,0.201424,0.881852,2.467975,2.29428,3.142109,9.566724,9.460359,28.053613
2,2,16,0.03123,0.206322,0.870577,2.456023,2.305767,3.211928,9.540057,9.453414,28.082177
2,2,1,0.03124,1.124698,0.991451,4.904971,3.301155,3.19083,10.133541,10.029973,33.715084
2,2,1,0.032277,1.13077,1.017648,4.918602,3.307342,3.174266,10.015903,10.07966,33.683233
2,2,1,0.028573,1.132968,1.010451,4.819971,3.270349,3.175966,10.004554,10.018444,33.468844
2,2,1,0.032216,1.076133,0.994583,4.898449,3.302169,3.204489,10.007944,10.083381,33.605904
2,2,1,0.030453,1.121553,0.990369,4.825063,3.278051,3.180559,10.024444,10.054379,33.511953
