Threads,Schedule,ChunkSize,Time (s),TotalTime
4,guided,16,0.976165,42.578157
4,guided,16,0.988931,36.305172
4,guided,32,0.972624,45.713224
4,guided,32,0.965662,62.227304
4,guided,32,0.991767,60.521688
4,guided,32,1.008196,48.432823
4,guided,32,1.011316,44.244350
4,guided,64,1.003902,42.537560
4,guided,64,1.011074,45.403621
4,guided,64,1.005202,42.542206
4,guided,64,1.007753,46.363350
4,guided,64,1.016098,46.746970
4,guided,128,0.999344,44.046919
4,guided,128,1.001251,45.839379
4,guided,128,0.995495,47.417132
4,guided,128,0.988050,43.970119
4,guided,128,0.999792,47.123482
4,guided,256,1.014767,47.164972
4,guided,256,0.997561,46.244197
4,guided,256,1.013261,43.651251
4,guided,256,1.000358,47.319534
4,guided,256,1.019166,46.925710
4,guided,512,0.995780,44.368525
4,guided,512,0.999106,47.298457
4,guided,512,1.019342,44.780325
4,guided,512,1.009509,47.301926
4,guided,512,1.004115,47.354918
4,guided,1024,0.965612,47.194456
4,guided,1024,0.996770,47.440327
4,guided,1024,0.990800,44.568288
4,guided,1024,0.996675,26.214865
4,guided,1024,0.992660,25.882522
4,guided,2048,0.993899,25.830219
4,guided,2048,0.999736,26.280828
4,guided,2048,1.010757,37.039148
4,guided,2048,0.997852,42.939630
4,guided,2048,1.021579,44.920321
4,guided,4096,1.003319,43.498772
4,guided,4096,1.005003,44.052638
4,guided,4096,0.988366,43.419741
4,guided,4096,0.973647,43.132951
4,guided,4096,0.995223,45.098525
4,dynamic,16,3.375152,48.874959
4,dynamic,16,3.483746,47.263644
4,dynamic,16,3.514948,32.292002
4,dynamic,16,3.521102,32.062496
4,dynamic,16,3.575193,32.344637
4,dynamic,32,2.310217,29.524722
4,dynamic,32,2.320487,29.704697
4,dynamic,32,2.332310,29.604198
4,dynamic,32,2.313487,29.641297
4,dynamic,32,2.335872,29.653431
4,dynamic,64,1.469920,27.191635
4,dynamic,64,1.487612,27.204395
4,dynamic,64,1.489723,35.594002
4,dynamic,64,1.492852,44.159370
4,dynamic,64,1.503461,46.810946
4,dynamic,128,1.192573,44.080036
4,dynamic,128,1.196130,43.607284
4,dynamic,128,1.217187,43.818640
4,dynamic,128,1.177840,45.480228
4,dynamic,128,1.180443,34.008805
4,dynamic,256,1.106624,26.436622
4,dynamic,256,1.116393,32.982832
4,dynamic,256,1.119614,43.319341
4,dynamic,256,1.119765,44.168192
4,dynamic,256,1.130714,43.774370
4,dynamic,512,1.086894,45.305234
4,dynamic,512,1.087408,43.915757
4,dynamic,512,1.089820,43.607125
4,dynamic,512,1.080244,43.611258
4,dynamic,512,1.073978,45.319887
4,dynamic,1024,1.045957,41.996929
4,dynamic,1024,1.034490,42.400972
4,dynamic,1024,1.049467,42.130176
4,dynamic,1024,1.047073,42.701544
4,dynamic,1024,1.012446,44.254948
4,dynamic,2048,1.018629,41.897645
4,dynamic,2048,1.031787,41.454531
4,dynamic,2048,1.021036,40.465435
4,dynamic,2048,0.993016,39.509846
4,dynamic,2048,1.032241,38.914439
4,dynamic,4096,0.971719,41.017175
4,dynamic,4096,0.992454,40.994942
4,dynamic,4096,1.004813,40.993110
4,dynamic,4096,1.000581,40.810669
4,dynamic,4096,1.003144,40.756330
8,static,16,0.958663,38.989524
8,static,16,0.975135,42.304636
8,static,16,1.014800,43.718852
8,static,16,0.970396,42.211814
8,static,16,1.006386,43.026014
8,static,32,0.922408,44.295627
8,static,32,0.945320,42.112146
8,static,32,0.932470,44.499809
8,static,32,0.943119,42.136938
8,static,32,0.877809,42.282379
8,static,64,0.877835,42.026616
8,static,64,0.898947,42.238736
8,static,64,0.962856,44.248073
8,static,64,0.910574,42.104450
8,static,64,0.928671,42.683793
8,static,128,0.863327,42.168701
8,static,128,0.865839,41.631187
8,static,128,0.876787,42.735819
8,static,128,0.900857,43.942521
8,static,128,0.855492,40.731306
8,static,256,0.843425,40.677771
8,static,256,0.867715,40.532839
8,static,256,0.854073,39.771267
8,static,256,0.851070,40.394910
8,static,256,0.859603,38.212397
8,static,512,0.852904,42.492203
8,static,512,0.870577,42.238672
8,static,512,0.852905,41.945684
8,static,512,0.860647,43.214758
8,static,512,0.859273,43.605884
8,static,1024,0.849557,42.483398
8,static,1024,0.841589,41.743217
8,static,1024,0.838557,41.879020
8,static,1024,0.815243,43.745665
8,static,1024,0.832831,43.180084
8,static,2048,0.833506,46.515422
8,static,2048,0.832668,45.434866
8,static,2048,0.851452,44.177210
8,static,2048,0.832044,46.021954
8,static,2048,0.833374,46.010023
8,static,4096,0.806324,42.702602
8,static,4096,0.822705,46.346583
8,static,4096,0.811263,43.277672
8,static,4096,0.862437,46.458288
8,static,4096,0.818446,46.054806
8,guided,16,0.812550,43.111165
8,guided,16,0.788146,45.183585
8,guided,16,0.801403,43.275263
8,guided,16,0.749539,46.195414
8,guided,16,0.787242,45.843244
8,guided,32,0.817234,46.204868
8,guided,32,0.786863,43.181313
8,guided,32,0.768578,46.206488
8,guided,32,0.806227,46.287369
